,Accuracy,F1-Score
Logistic Regression,0.6414814814814814,0.630841786032286
Support Vector Machine,0.7759259259259259,0.7727164325501409
Random Forest,0.7994444444444444,0.7938549890278673
Gradient Boosting,0.7625925925925926,0.7594974614220682
Neural Network (MLP),0.27925925925925926,0.19912105229382485
